Type équipement ou lieu,Nom,Adresse postale,libelle_geographique
Cinéma,ESPACE SAINT MICHEL,7 pl. St Michel 75005 Paris 5e Arrondissement,Paris 5e Arrondissement
Cinéma,FONTENELLE,10 r. Carnot 78160 Marly-le-Roi,Marly-le-Roi
Cinéma,FRANCAIS,38 r. du General de Gaulle 95880 Enghien-les-Bains,Enghien-les-Bains
Cinéma,FRANCOIS TRUFFAUT,2 r. de l'Ecole 91380 Chilly-Mazarin,Chilly-Mazarin
Cinéma,FREDERIC DARD CLUB A,77 r. Paul Doumer 78130 Les Mureaux,Les Mureaux
Cinéma,GAUMONT AQUABOULEVARD,8/16 r. du Colonel Pierre Avia 75015 Paris 15e Arrondissement,Paris 15e Arrondissement
Cinéma,GAUMONT CHAMPS ELYSEES MARIGNAN,27/33 av. des Champs Elysees 75008 Paris 8e Arrondissement,Paris 8e Arrondissement
Cinéma,GAUMONT CONVENTION,27 r. Alain Chartier 75015 Paris 15e Arrondissement,Paris 15e Arrondissement
Cinéma,GAUMONT DISNEY VILLAGE,1 espl. Francois Truffaut 77700 Chessy,Chessy
Cinéma,GAUMONT MONTPARNOS,16 18 r. d'Odessa 75014 Paris 14e Arrondissement,Paris 14e Arrondissement
Cinéma,GAUMONT PARNASSE,3 r. d'Odessa 75014 Paris 14e Arrondissement,Paris 14e Arrondissement
Cinéma,GAUMONT SAINT-DENIS,8 r. du Mondial 1998 93200 Saint-Denis,Saint-Denis
Cinéma,GERARD PHILIPE,2 r. Pablo Neruda 94380 Bonneuil-sur-Marne,Bonneuil-sur-Marne
Cinéma,GRAND REX,5 bd Poissonniere 75002 Paris 2e Arrondissement,Paris 2e Arrondissement
Cinéma,GRENOUILLE,Centre Commercial des 7 Mares 78990 Élancourt,Élancourt
Cinéma,Gaumont Opera Capucines,2/4 bd des Capucines 75000 Paris,Paris
Cinéma,George V,146 av. des Champs Elysees 75008 Paris 8e Arrondissement,Paris 8e Arrondissement
Cinéma,HEMISPHERE THEATER,23 r. Marcel Clavier 77120 Coulommiers,Coulommiers
Cinéma,JACQUES BREL,r. de la Mare Aux Carats 78180 Montigny-le-Bretonneux,Montigny-le-Bretonneux
Cinéma,JACQUES TATI,29 bis av. Charles de Gaulle 93290 Tremblay-en-France,Tremblay-en-France
Cinéma,JEAN COCTEAU,3 r. Anatole France 91220 Brétigny-sur-Orge,Brétigny-sur-Orge
Cinéma,JEAN GABIN,12-14 bd Leon Feix 95100 Argenteuil,Argenteuil
Cinéma,JEAN GABIN,r. Pierre de Coubertin 77430 Champagne-sur-Seine,Champagne-sur-Seine
Cinéma,JEAN RENOIR,r. du General Leclerc 92270 Bois-Colombes,Bois-Colombes
Cinéma,JEAN VILAR,1 r. Paul Signac 94110 Arcueil,Arcueil
Cinéma,Jacques Brel A,pl. de l'Hotel de Ville 95140 Garges-lès-Gonesse,Garges-lès-Gonesse
Cinéma,KINEPOLIS BRETIGNY,5 r. Michele Morgan 91220 Brétigny-sur-Orge,Brétigny-sur-Orge
Cinéma,KINEPOLIS SERVON,Zac de Noyer Aux Perdrix 77170 Servon,Servon
Cinéma,L ALCAZAR,1 r. de la Station 92600 Asnières-sur-Seine,Asnières-sur-Seine
Cinéma,L ARLEQUIN PANORAMA,76 r. de Rennes 75006 Paris 6e Arrondissement,Paris 6e Arrondissement
Cinéma,L ETOILE,1 all. du Progres 93120 La Courneuve,La Courneuve
Cinéma,L'ANTARES,1 pl. du Coeur Battant 95490 Vauréal,Vauréal
Cinéma,L'ARCHIPEL,17 bd de Strasbourg 75010 Paris 10e Arrondissement,Paris 10e Arrondissement
Cinéma,L'ATALANTE,48 r. du Prieure 78600 Maisons-Laffitte,Maisons-Laffitte
Cinéma,L'EDEN,5 r. de Pontoise 95160 Montmorency,Montmorency
Cinéma,L'HELIOS,27 A 39 r. du Bournard 92700 Colombes,Colombes
Cinéma,L'ORANGE BLEUE,7 r. Jean Mermoz 95600 Eaubonne,Eaubonne
Cinéma,LA BARBACANE,pl. du 8 Mai 1945 78650 Beynes,Beynes
Cinéma,LA BERGERIE,Cour Emile Zola 77370 Nangis,Nangis
Cinéma,LA COUPOLE,r. Jean Francois Millet 77380 Combs-la-Ville,Combs-la-Ville
Cinéma,LA FAUVETTE,21 av. Daniel Perdrige 93360 Neuilly-Plaisance,Neuilly-Plaisance
Cinéma,LA FERME DU BUISSON,all. de la Ferme 77186 Noisiel,Noisiel
Cinéma,LA GRANGE,Ferme de l'Ayau 77680 Roissy-en-Brie,Roissy-en-Brie
Cinéma,LA GRANGE,r. Ambroise Pro 77000 Melun,Melun
Cinéma,LA GRANGE DE LA TREMBLAYE,r. du Parc 78390 Bois-d'Arcy,Bois-d'Arcy
Cinéma,LA LUCARNE MJC,100 r. Juliette Savar 94000 Créteil,Créteil
Cinéma,LA LUCIOLE,1 rte de Pontoise 95540 Méry-sur-Oise,Méry-sur-Oise
Cinéma,LA PLEIADE,12 av. Cousin de Mericourt 94230 Cachan,Cachan
Cinéma,LA ROTONDE,pl. du 14 Juillet 77550 Moissy-Cramayel,Moissy-Cramayel
Cinéma,LA ROTONDE A,102 r. Saint Jacques 91150 Étampes,Étampes
Cinéma,LA TOILE FILANTE CIRCUIT ITINERANT ROISSY PAYS DE FRANCE,Centre Culturel de l'Orangerie 95700 Roissy-en-France,Roissy-en-France
Cinéma,LA TOURNELLE,14 r. Dispan 94240 L'Haÿ-les-Roses,L'Haÿ-les-Roses
Cinéma,LE BIJOU,pl. de la Liberation 93160 Noisy-le-Grand,Noisy-le-Grand
Cinéma,LE BRADY,39 bd de Strasbourg 75010 Paris 10e Arrondissement,Paris 10e Arrondissement
Cinéma,LE CAPITOLE,3 r. Ledru Rollin 92150 Suresnes,Suresnes
Cinéma,LE CASINO,13 r. Guillaume Bude 94350 Villiers-sur-Marne,Villiers-sur-Marne
Cinéma,LE CENTRAL,134 r. de la Republique 92800 Puteaux,Puteaux
Cinéma,LE CENTRAL,sq. de la Mairie 91190 Gif-sur-Yvette,Gif-sur-Yvette
Cinéma,LE CHAMPO,51 r. des Ecoles 75005 Paris 5e Arrondissement,Paris 5e Arrondissement
Cinéma,LE CHAPLIN,pl. Mendes France 78200 Mantes-la-Jolie,Mantes-la-Jolie
Cinéma,LE CIN'HOCHE,6 r. Hoche 93170 Bagnolet,Bagnolet
Cinéma,LE CINEMA,10 av. Francis de Pressense 93350 Le Bourget,Le Bourget
Cinéma,LE CINEMA DES CINEASTES,7 av. de Clichy 75017 Paris 17e Arrondissement,Paris 17e Arrondissement
Cinéma,LE CINEMA DU PANTHEON,13 r. Victor Cousin 75005 Paris 5e Arrondissement,Paris 5e Arrondissement
Cinéma,LE COLOMBIER,pl. Charles de Gaulle 92410 Ville-d'Avray,Ville-d'Avray
Cinéma,LE CONTI,pl. du Patis 95290 L'Isle-Adam,L'Isle-Adam
Cinéma,LE CRATERE,r. Jean Moulin 78730 Saint-Arnoult-en-Yvelines,Saint-Arnoult-en-Yvelines
Cinéma,LE CYRANO,114 av. de la Republique 91230 Montgeron,Montgeron
Cinéma,LE FIGUIER BLANC,3 ter r. Gregoire Collas 95100 Argenteuil,Argenteuil
Cinéma,LE FORUM,pl. du Forum 94470 Boissy-Saint-Léger,Boissy-Saint-Léger
Cinéma,LE GRAND ACTION,5 r. des Ecoles 75005 Paris 5e Arrondissement,Paris 5e Arrondissement
Cinéma,LE KOSMOS,243 ter av. de la Republique 94120 Fontenay-sous-Bois,Fontenay-sous-Bois
Cinéma,LE LAVOIR NUMERIQUE,10 r. Viictor Marquigny 94250 Gentilly,Gentilly
Cinéma,LE LIDO,70 av. de la Republique 94100 Saint-Maur-des-Fossés,Saint-Maur-des-Fossés
Cinéma,LE LOUXOR,170 bd de Magenta 75010 Paris 10e Arrondissement,Paris 10e Arrondissement
Cinéma,LE LUXY,77 av. Georges Gosnat 94200 Ivry-sur-Seine,Ivry-sur-Seine
Cinéma,LE NORMANDY,72 bd de la Republique 92420 Vaucresson,Vaucresson
Cinéma,LE PIERRE BRASSEUR,103 av. du General de Gaulle 77330 Ozoir-la-Ferrière,Ozoir-la-Ferrière
Cinéma,LE RENAISSANCE,16 r. de l'Eglise 77480 Bray-sur-Seine,Bray-sur-Seine
Cinéma,LE REXY,Quartier Delort 77160 Provins,Provins
Cinéma,LE SCARRON,8 av. Jeanne et Maurice Dolivet 92260 Fontenay-aux-Roses,Fontenay-aux-Roses
Cinéma,LE SELECT,10 av. Division Leclerc 92160 Antony,Antony
Cinéma,LE TRIANON,pl. Carnot et 1 r. Etienne Dolet 93230 Romainville,Romainville
Cinéma,LE VANVES,12 r. Sadi Carnot 92170 Vanves,Vanves
Cinéma,LE VILLAGE I,4 r. de Chezy 92200 Neuilly-sur-Seine,Neuilly-sur-Seine
Cinéma,LE VINCENNES,30 av. de Paris 94300 Vincennes,Vincennes
Cinéma,LES 2 SCENES,pl. Henri Dunant 78580 Maule,Maule
Cinéma,LES 3 LUXEMBOURG,67 69 r. Monsieur le Prince 75006 Paris 6e Arrondissement,Paris 6e Arrondissement
Cinéma,LES 4 DELTA 4,81 bis av. du Bac 94100 Saint-Maur-des-Fossés,Saint-Maur-des-Fossés
Cinéma,LES 4 PERRAY,44-46 av. Gabriel Péri 91700 Sainte-Geneviève-des-Bois,Sainte-Geneviève-des-Bois
Cinéma,LES 4 VENTS,80 r. du General Leclerc 77170 Brie-Comte-Robert,Brie-Comte-Robert
Cinéma,LES 7 BATIGNOLLES CINEMOVIDA,all. Colette Heilbronner 75017 Paris 17e Arrondissement,Paris 17e Arrondissement
Cinéma,LES LUMIERES,49 r. Maurice Thorez 92000 Nanterre,Nanterre
Cinéma,LES TOILES OLYMPIC,pl. Francois Truffaut 95210 Saint-Gratien,Saint-Gratien
Cinéma,LES VARIETES,72 r. de Chelles 77360 Vaires-sur-Marne,Vaires-sur-Marne
Cinéma,LES YEUX D ELSA,11 bis Ave Jean Jaures 78210 Saint-Cyr-l'École,Saint-Cyr-l'École
Cinéma,LOUIS JOUVET,3 pl. Maurice Berteaux 78400 Chatou,Chatou
Cinéma,LUCERNAIRE FORUM,53 r. Notre Dame des Champs 75006 Paris 6e Arrondissement,Paris 6e Arrondissement
Cinéma,LUMINOR HOTEL DE VILLE,20 r. du Temple 75004 Paris 4e Arrondissement,Paris 4e Arrondissement
Cinéma,Le Beverley,14 r. Ville Neuve 75000 Paris,Paris
Cinéma,Les 4 Perray,44/46 av. Gabriel Peri 91700 Sainte-Geneviève-des-Bois,Sainte-Geneviève-des-Bois
Cinéma,Les Trois Pierrots,6-8 r. du Mont Valerien 92210 Saint-Cloud,Saint-Cloud
Cinéma,M J C,2 av. du Parc des Sports 94260 Fresnes,Fresnes
Cinéma,M J C THEATRE DE COLOMBES,96 98 r. St Denis 92700 Colombes,Colombes
Cinéma,MAC MAHON,5/7 av. Mac Mahon 75017 Paris 17e Arrondissement,Paris 17e Arrondissement
Cinéma,MAJESTIC BASTILLE,4 bd Richard Lenoir 75011 Paris 11e Arrondissement,Paris 11e Arrondissement
Cinéma,MAJESTIC PASSY,18 20 r. de Passy 75016 Paris 16e Arrondissement,Paris 16e Arrondissement
Cinéma,MARCEL PAGNOL,17 r. Beranger 92240 Malakoff,Malakoff
Cinéma,MAX LINDER,24 bd Poissonniere 75009 Paris 9e Arrondissement,Paris 9e Arrondissement
Cinéma,MEGA CGR,5 av. du Marechal Joffre 93800 Épinay-sur-Seine,Épinay-sur-Seine
Cinéma,MEGA CGR,pl. Henri Dunant 78200 Mantes-la-Jolie,Mantes-la-Jolie
Cinéma,MEGA CGR,pl. de l'Agora Ce 169 91000 Évry-Courcouronnes,Évry-Courcouronnes
Cinéma,MEGA CGR,prm. du 7ème Art 77200 Torcy,Torcy
Cinéma,MEGARAMA,44 av. de la Longue Bertrane 92390 Villeneuve-la-Garenne,Villeneuve-la-Garenne
Cinéma,MEGARAMA,8 av. Salvador Allende 94110 Arcueil,Arcueil
Cinéma,MEGARAMA,82 bd Victor Bordier 95370 Montigny-lès-Cormeilles,Montigny-lès-Cormeilles
Cinéma,MELIES,9 r. Bezout 77140 Nemours,Nemours
Cinéma,MELIES,pl. Jean Jaures 93100 Montreuil,Montreuil
Cinéma,MK2 A&E,15/43 q. Francois Mauriac 75013 Paris 13e Arrondissement,Paris 13e Arrondissement
Cinéma,MK2 BASTILLE COTE BEAUMARCHAIS,3 bd r. Lenoir 4/6 bd Beaumarchai 75011 Paris 11e Arrondissement,Paris 11e Arrondissement
Cinéma,MK2 BASTILLE COTE FAUBOURG SAINT-ANTOINE,5 r. du Faubourg St Antoine 75011 Paris 11e Arrondissement,Paris 11e Arrondissement
Cinéma,MK2 BEAUBOURG,50 r. Rambuteau 75003 Paris 3e Arrondissement,Paris 3e Arrondissement
Cinéma,MK2 BIBLIOTHEQUE,128 A 162 av. de France 75013 Paris 13e Arrondissement,Paris 13e Arrondissement
Cinéma,MK2 GAMBETTA,6 r. Belgrand 75020 Paris 20e Arrondissement,Paris 20e Arrondissement
Cinéma,MK2 NATION,133 bd Diderot 75012 Paris 12e Arrondissement,Paris 12e Arrondissement
Cinéma,MK2 ODEON COTE SAINT-GERMAIN,113 bd St Germain 75006 Paris 6e Arrondissement,Paris 6e Arrondissement
Cinéma,MK2 ODEON COTE SAINT-MICHEL,7 r. Hautefeuille 75006 Paris 6e Arrondissement,Paris 6e Arrondissement
Cinéma,MK2 PARNASSE,11 r. Jules Chaplain 75006 Paris 6e Arrondissement,Paris 6e Arrondissement
Cinéma,MK2 QUAI DE LOIRE,5/19 q. de la Loire 75019 Paris 19e Arrondissement,Paris 19e Arrondissement
Cinéma,MK2 QUAI DE SEINE,14 q. de la Seine 75019 Paris 19e Arrondissement,Paris 19e Arrondissement
Cinéma,MY CINE,Shopping prm. 3 r. Robert Schuman 77410 Claye-Souilly,Claye-Souilly
Cinéma,Magic Cinema,r. du chem. Vert 93000 Bobigny,Bobigny
Cinéma,Mk2 Grand Palais,crs. la Reine Porte C 75008 Paris 8e Arrondissement,Paris 8e Arrondissement
Cinéma,NOUVEL ODEON,6 r. de l'Ecole de Medecine 75006 Paris 6e Arrondissement,Paris 6e Arrondissement
Cinéma,PANDORA,6 all. Simone Signoret 78260 Achères,Achères
Cinéma,PARNASSIEN,98 bd du Montparnasse 75014 Paris 14e Arrondissement,Paris 14e Arrondissement
Cinéma,PARTERRE,sq. de Lac Megantic 91410 Dourdan,Dourdan
Cinéma,PATHE,21 pl. du Grand Ouest 91300 Massy,Massy
Cinéma,PATHE,26 r. le Corbusier 92100 Boulogne-Billancourt,Boulogne-Billancourt
Cinéma,PATHE,30 av. Corentin Cariou 75019 Paris 19e Arrondissement,Paris 19e Arrondissement
Cinéma,PATHE,32 r. Louis Legrand 75002 Paris 2e Arrondissement,Paris 2e Arrondissement
Cinéma,PATHE,5 r. Francois Mitterrand 94200 Ivry-sur-Seine,Ivry-sur-Seine
Cinéma,PATHE,r. de l'Hautil 78700 Conflans-Sainte-Honorine,Conflans-Sainte-Honorine
Cinéma,PATHE,r. des Buissons 93290 Tremblay-en-France,Tremblay-en-France
Cinéma,PATHE ALESIA,73 av. du General Leclerc 75014 Paris 14e Arrondissement,Paris 14e Arrondissement
Cinéma,PATHE BEAUGRENELLE,7 r. Linois 75015 Paris 15e Arrondissement,Paris 15e Arrondissement
Cinéma,PATHE BELLE EPINE,Centre Commercial Belle Epine 94320 Thiais,Thiais
Cinéma,PATHE CARRE SENART,3 all. du Preambule 77127 Lieusaint,Lieusaint
Cinéma,PATHE DAMMARIE,824 av. du Lys 77190 Dammarie-les-Lys,Dammarie-les-Lys
