official_name,address_txt,id
France Travail - Trappes,130 avenue des Bouleaux 78190 Trappes,9262f3a2-8d22-4bfa-a0f4-6894b5e66081
France Travail - Tremblay-en-France,43 avenue Nelson-Mandela 93290 Tremblay-en-France,6e39f4d4-e990-42dc-b9a7-2a86baf5fb95
France Travail - Versailles,24 rue de Vergennes 78000 Versailles,99590518-1961-49ba-ac73-00ca088b612a
France Travail - Villejuif,58 avenue de Stalingrad 94800 Villejuif,d587ca6e-de8a-4912-a564-c26a6d0fa5f8
France Travail - Villeneuve-Saint-Georges,2 rue Henri-Janin 94190 Villeneuve-Saint-Georges,bc03cc0a-101a-4977-a644-be56c4b874b1
France Travail - Vincennes,3 rue Lejemptel 94300 Vincennes,c5d00d9f-899a-4e28-9e50-b3089d6ff4ef
France Travail - Viry-Châtillon,16 rue de Ris 91170 Viry-Châtillon,5df53377-2b08-4d68-9f78-86a29cc1db63
France Travail - Vitry-sur-Seine,121 avenue Rouget-de-Lisle 94400 Vitry-sur-Seine,8a502f3a-6b49-4158-9720-483ef6f35500
France Travail - Yerres,2 Place de la Gare 91330 Yerres,1e6039aa-f2db-4976-b8a8-532eb1bc8b83
France Travail - Épinay-sur-Seine,32 avenue Salvador-Allende 93800 Épinay-sur-Seine,cf7d514c-ba0f-4919-9619-6c66a2c5f948
France Travail - Étampes,15 rue de Saclas 91150 Étampes,b9cb9d55-087f-4699-b8d4-740bac0df816
France Travail - Évry,34 cours Blaise-Pascal 91000 Évry,62797ef9-5dc2-4f1e-9c25-8c8f64e531bb
Mairie - Abbéville-la-Rivière,1 place de la Mairie 91150 Abbéville-la-Rivière,8971767f-e50c-4d58-9e69-94e7a489f49a
Mairie - Ableiges,Rue Gilles-de-Maupeou 95450 Ableiges,55e63c96-f8a4-424c-a9fd-52ddf515b6ef
Mairie - Ablis,8 rue de la Mairie 78660 Ablis,c761b3fb-1ca7-4d30-bea4-6c81f7dd8030
Mairie - Ablon-sur-Seine,16 rue du Maréchal-Foch 94480 Ablon-sur-Seine,beb21c87-ed67-41f3-8712-e36621bebe4a
